Afghanistan ;Asia   
Albania ;EasternEurope                    
Algeria ;Africa
American Samoa ;Oceania                       
Andorra ;WesternEurope         
Angola ;Africa
Anguilla ;SouthAmerica
Antigua & Barbuda ;SouthAmerica
Argentina ;SouthAmerica
Armenia ;Other
Aruba ;SouthAmerica
Australia ;Oceania                       
Austria ;WesternEurope         
Azerbaijan ;Other
Bahamas;SouthAmerica
Bahrain ;MiddleEast        
Bangladesh ;Asia   
Barbados ;SouthAmerica
Belarus ;Other
Belgium ;WesternEurope         
Belize ;SouthAmerica
Benin ;Africa
Bermuda ;NorthAmerica                   
Bhutan ;Asia   
Bolivia ;SouthAmerica
Yugoslavia;EasternEurope                    
Kosovo;EasternEurope                    
Bosnia And Herzegovina;EasternEurope                    
Botswana ;Africa
Brazil ;SouthAmerica
British Virgin Islands;SouthAmerica
Brunei ;Asia   
Bulgaria ;EasternEurope                    
Burkina Faso ;Africa
Burma ;Asia   
Burundi ;Africa
Cambodia ;Asia   
Cameroon ;Africa
Canada ;NorthAmerica                   
Cape Verde ;Africa
Cayman Islands ;SouthAmerica
Central African Republic;Africa
Chad ;Africa
Chile ;SouthAmerica
China ;Asia   
Colombia ;SouthAmerica
Comoros ;Africa
Congo;Africa
Congo, Dem. Rep. ;Africa
Congo, Repub. of the ;Africa
Cook Islands ;Oceania                       
Costa Rica ;SouthAmerica
Cote D'Ivoire (Ivory Coast) ;Africa
Croatia ;EasternEurope                    
Cuba ;SouthAmerica
Cyprus ;MiddleEast        
Czech Republic ;EasternEurope                    
Denmark ;WesternEurope         
Djibouti ;Africa
Dominica ;SouthAmerica
Dominican Republic ;SouthAmerica
East Timor ;Asia   
Ecuador ;SouthAmerica
Egypt ;Africa
El Salvador ;SouthAmerica
Equatorial Guinea ;Africa
Eritrea ;Africa
Estonia ;NorthernEurope            
Ethiopia ;Africa
Faroe Islands ;WesternEurope         
Fiji ;Oceania                       
Finland ;WesternEurope         
France ;WesternEurope         
French Guiana ;SouthAmerica
French Polynesia ;Oceania                       
Gabon ;Africa
Gambia ;Africa
Palestine;MiddleEast        
Gaza Strip ;MiddleEast        
Georgia ;Other
Germany ;WesternEurope         
Ghana ;Africa
Gibraltar ;WesternEurope         
Greece ;WesternEurope         
Greenland ;NorthAmerica                   
Grenada ;SouthAmerica
Guadeloupe ;SouthAmerica
Guam ;Oceania                       
Guatemala ;SouthAmerica
Guernsey ;WesternEurope         
Guinea ;Africa
Guinea-Bissau ;Africa
Guyana ;SouthAmerica
Haiti ;SouthAmerica
Honduras ;SouthAmerica
Hong Kong ;Asia   
Hungary ;EasternEurope                    
Iceland ;WesternEurope         
India ;Asia   
Indonesia ;Asia   
Iran ;Asia   
Iraq ;MiddleEast        
Ireland ;WesternEurope         
Isle of Man ;WesternEurope         
Israel ;MiddleEast        
Italy ;WesternEurope         
Jamaica ;SouthAmerica
Japan ;Asia   
Jersey ;WesternEurope         
Jordan ;MiddleEast        
Kazakhstan ;Other
Kenya ;Africa
Kiribati ;Oceania                       
Korea (North) ;Asia   
Korea (South) ;Asia   
Kuwait ;MiddleEast        
Kyrgyzstan ;Other
Laos ;Asia   
Latvia ;NorthernEurope            
Lebanon ;MiddleEast        
Lesotho ;Africa
Liberia ;Africa
Libya ;Africa
Liechtenstein ;WesternEurope         
Lithuania ;NorthernEurope            
Luxembourg ;WesternEurope         
Macau ;Asia   
Macedonia ;EasternEurope                    
Madagascar ;Africa
Malawi ;Africa
Malaysia ;Asia   
Maldives ;Asia   
Mali ;Africa
Malta ;WesternEurope         
Marshall Islands ;Oceania                       
Martinique ;SouthAmerica
Mauritania ;Africa
Mauritius ;Africa
Mayotte ;Africa
Mexico ;SouthAmerica
Micronesia, Fed. St. ;Oceania                       
Moldova ;Other
Monaco ;WesternEurope         
Mongolia ;Asia   
Montserrat ;SouthAmerica
Morocco ;Africa
Mozambique ;Africa
Namibia ;Africa
Nauru ;Oceania                       
Nepal ;Asia   
The Netherlands;WesternEurope         
Netherlands ;WesternEurope         
Netherlands Antilles ;SouthAmerica
New Caledonia ;Oceania                       
New Zealand ;Oceania                       
Nicaragua ;SouthAmerica
Niger ;Africa
Nigeria ;Africa
N. Mariana Islands ;Oceania                       
Norway ;WesternEurope         
Oman ;MiddleEast        
Pakistan ;Asia   
Palau ;Oceania                       
Panama ;SouthAmerica
Papua New Guinea ;Oceania                       
Paraguay ;SouthAmerica
Peru ;SouthAmerica
Philippines ;Asia   
Poland ;EasternEurope                    
Portugal ;WesternEurope         
Puerto Rico ;SouthAmerica
Qatar ;MiddleEast        
Reunion ;Africa
Romania ;EasternEurope                    
Russia ;Other
Rwanda ;Africa
Saint Helena ;Africa
Saint Kitts & Nevis ;SouthAmerica
Saint Lucia ;SouthAmerica
St Pierre & Miquelon ;NorthAmerica                   
Saint Vincent and the Grenadines ;SouthAmerica
Samoa ;Oceania                       
San Marino ;WesternEurope         
Sao Tome & Principe ;Africa
Saudi Arabia ;MiddleEast        
Senegal ;Africa
Serbia ;EasternEurope                    
Seychelles ;Africa
Sierra Leone ;Africa
Singapore ;Asia   
Slovakia ;EasternEurope                    
Slovenia ;EasternEurope                    
Solomon Islands ;Oceania                       
Somalia ;Africa
South Africa ;Africa
Spain ;WesternEurope         
Sri Lanka ;Asia   
Sudan ;Africa
Suriname ;SouthAmerica
Swaziland ;Africa
Sweden ;WesternEurope         
Switzerland ;WesternEurope         
Syria ;MiddleEast        
Taiwan ;Asia   
Tajikistan ;Other
Tanzania ;Africa
Thailand ;Asia   
Togo ;Africa
Tonga ;Oceania                       
Trinidad & Tobago ;SouthAmerica
Tunisia ;Africa
Turkey ;MiddleEast        
Turkmenistan ;Other
Turks & Caicos Is ;SouthAmerica
Tuvalu ;Oceania                       
Uganda ;Africa
Ukraine ;Other
United Arab Emirates ;MiddleEast        
United Kingdom ;WesternEurope         
United States ;NorthAmerica                   
Uruguay ;SouthAmerica
Uzbekistan ;Other
Vanuatu ;Oceania                       
Venezuela ;SouthAmerica
Vietnam ;Asia   
Virgin Islands ;SouthAmerica
Wallis and Futuna ;Oceania                       
West Bank ;MiddleEast        
Western Sahara ;Africa
Yemen ;MiddleEast        
Zambia ;Africa
Zimbabwe ;Africa
Zaire;Africa
Myanmar;Asia   
